QueryText,KccAns
black leaf spot in groundnut ,"recommended to spray ( carbendazim +mancozeb ) (saaf) 400gm / 200 lit of water /acre
( కార్బెండజిం + మాంకోజెబ్ ) 400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాల
"
groundnut  late tikka management ,"recommended to spray ambition @250 ml per acre
"
rodent management in groundnut: ,జింక్ ఫోస్ఫిడే  ఎరా ని వాడాలి విషం లేని ఎరా ని 2౦గ్రాములు అంటే తొంభయి ఎనిమిది పళ్ళు నూకలు రెండు పళ్ళు నూనె పొట్లాలుగా కట్టి కన్నానికి ఒకటి చొప్పున పెట్టి రెండు రోజులు ఎలుక లను మచ్చిక చేసుకోవాలి మూడవ రోజు జింక్ ఫోస్ఫఇదే ఎరా ను పది గ్రాములు పొట్లాలు కట్టి కన్నం లో ఒకటి చొప్పున వేయాలి 
tobacco cater filler in groundnut ,"recommended to spray emamectin benzoate  (proclaim) 90 grams /150 litres of water / acre  
ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
tobacco cater pillar management ,"recommended to spray chlorothalonil (kavach) 400 grams / acre  
 క్లోరోతలోనిల్  400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
tikka leaf spot management in groundnut?,19-19-19 @ 5 గ్రాములు లీటరు నీటికి కలిపి పిచికారీ చేయండి లేదా యూరియా @ 5 గ్రాములు లీటరు నీటికి కలిపి పిచికారీ చేయండి.
1 month ground nut crop for nutrient management ,"recommended to spray  fipronil  +imidacloprid (police) 100 grams/200 litres of water /acre  
"
farmer asked about the how to use gypsum in groundnut recommended ,ఎకరాకు వచ్చేసి వేరుశెనగ పంటలో జిప్సం రెండు వందల కిలోలు పూత సమయంలో వేసుకోవాలి ....
tikka in ground nut recommended ,"recommended to spray  hexaconazole  (contaf) 400 ml /200 litres of water / acre  
హెక్సాకొనజోల్   400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
recommended to spray tebuconazole   (folicur) 400 grams /200 litres of water / acre   
టెబ్యుకొనజోల్   400గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
tobacco boll worm in ground nut ,recommended to spray novaluron 5.25% + emamectin benzoate 0.9%(barazide) 320ml/200 liter of water/acre
tikka leaf spot in groundnut ,"recommended to spray chlorothalonil (kavach) 400 grams / acre  
 క్లోరోతలోనిల్  400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
root rot in groundnut ,"recommended to spray copper oxy chloride  (blue copper) 600  gm /200 litres of water / acre  
కాపర్ ఆక్సీక్లోరైడ్  600 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి "
tikka disease    in groundnut ,"recommended to spray chlorothalonil (kavach) 400 grams / acre  
 క్లోరోతలోనిల్  400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray tebuconazole   (folicur,raxil) 40 grams /200 litres of water / acre   
టెబ్యుకొనజోల్   40గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
borers  and  caterpillars  management,"recommended to spray  hexaconazole  (contaf) 400 ml /200 litres of water / acre  
హెక్సాకొనజోల్   400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
recommended to spray tebuconazole   (folicur) 400 grams /200 litres of water / acre   
టెబ్యుకొనజోల్   400గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
tikka disease   in ground nut ,"recommended to spray chlorothalonil 400 grams / acre  
 క్లోరోతలోనిల్  400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
"tikka leaf spot in ground nut 
","recommended to spray  thiophanate methyl (topsin-m) 200  grams/200 litres of water / acre 
థయోఫానైట్  మిథైల్ (రోకో)200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray tebuconazole   (folicur) 400 grams /200 litres of water / acre   
టెబ్యుకొనజోల్   400గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray potassium nitrate 13-0-45 @ 5 grams/1 liter of water/ acre 
పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 
recommended to spray ambition 250 ml/acre"
dosage of chlorpyrifos and cypermethrin ," recommended to spray  chlorpyrifos  (corabon/predator) 500 ml/200 litres of water / acre
 క్లోరోఫైరిఫాస్   500 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray cypermethrin (rifcard) 300 ml /200 litres of water / acre 
సైపర్ మెత్రిన్  300 మిల్లి లీటర్లు  /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
weed management in  groundnut     ,"recmmended to spray imazitapyr (pursuit) 300- 400 ml/200 litres of water per acre 
ఇమాజితాపైర్ ( పర్ సూట్  ) 300-400 మిల్లి లీటర్లు     /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి	
"
what are the ingredients of jeevamrutham?,"water 200 liters
desi cow dung 10 kgs
desi cow urine 10 liters
jaggery 1 kg or any fruit pulp 1kg (papaya, guava, spot, banana or mango)
flour of any pulses (green gram, bengal gram, black gram, beans, redgram) 2kg
a handful of fertile soil from your farm"
tikka in groundnut ,"recommended to spray propiconazole  (tilt)  200 ml / 200 litres of water /acre  
ప్రొపికొనజోల్  200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
recommended to spray carbendazim   (bavistin) 200  grams/  200 litres of water /acre   
కార్బెండజిం  200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
tikka leaf spot and leaf folder in ground nut management,"recommended to spray (hexaconazole+zineb) (avtar) 500 grams / 150 litres of water /acre  
  ( హెక్సాకొనజోల్   + జినెబ్)  500 గ్రాములు /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray chlorantraniliprole (coragin) 60 ml/150 litres of water / acre    క్లోరాంత్రనిలిప్రోల్  60 మిల్లి లీటర్లు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
"
downey mildew management ,"recommended to spray metalaxyl   (ridomil) 200 grams / 200 litres of water /acre   
మెటలాక్సిల్  మే  200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray mancozeb  (m-45) 600 grams / 200 litres of water / acre   
కలిమాంకోజెబ్ 600   గ్రాములు   /200 లీటర్ల నీటికి చొప్పున పి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
tobacco bollworm in groundnut," recommended to spray thiodicarb (larvin) 300 gr 200 litres of water / acre   
థయోడికార్బ్ 300 గ్రాములు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
recommended to spray chlorantraniliprole (coragin) 60 ml/150 litres of water / acre    క్లోరాంత్రనిలిప్రోల్  60 మిల్లి లీటర్లు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
"
groundnut  tikka leaf spot management ,"( కార్బెండజిం + మాంకోజెబ్ ) 400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాల
"
tikka leaf spot in groundnut management ,"recommended to spray chlorothalonil (kavach) 400 grams / acre  
 క్లోరోతలోనిల్  400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి "
groundnut sucking pest management ,"   థయోమిథాక్జొమ్ 40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
 అసిటామిప్రైడ్  +ఫిప్రోనిల్ 400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి   
"
"luna experience dosage in ground nut 
",recommended to spray 80 ml/acre
"powdery mildew in ground nut 
", seed treatment in ground nut : carbendazim 1 gram per 1kg  seed
white fly in groundnut ,incomplete call
borer management in ground nut,"recommended to spray dichlorvos  (nuvon) 250 ml / 200 litres of water /  acre    
డైక్లోరోవాస్ 250  మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
recommended to spray spinosad  (tracer)60ml/200 litres of water / acre 
స్పైనోసాడ్  60  మిల్లి లీటర్లు   /200 లీటర్ల నీటికి చొప్పున కలిపిఒక ఎకరాకు పిచికారి చేయాలి 
"
leaf eating caterpillar management in ground nut ,recommended to spray emamectin benzoate (proclaim) 90 grams /150 litres of water / acre ఎమామెక్టిన్ బెంజోయేట్ 90 గ్రాములు /150 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
use of sulphur and tebuconazole in tomato,ఈ కాంబినేషన్ లో వున్నా మందు తెగుళ్లకు సంబందించినవి.
rust in ground nut ,"recommended to spray metalaxyl   (ridomil) 200 grams / 200 litres of water /acre   
మెటలాక్సిల్  మే  200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి "
groundnut tikka  leaf spot management ,"పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి క లిపి ఎకరాకు పిచికారీ చేయండి 
"
groundnut post emergence  weed management ,"క్విజలోఫాప్-పి -ఇథైల్ 400  మిల్లి లీటర్లు (టర్గా సూపర్)/200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
 ప్రోపక్విజఫాప్(అజిల్ ) 250 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి	  
ఇమాజితాపైర్ ( పర్ సూట్  ) 300-400 మిల్లి లీటర్లు     /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి	
"
leaf miner  and pod borer in groundnut ,"recommended to spray monocrotophos (nuvacron) 400 ml /200 litres of water /acre మోనోక్రోటోపాస్  400  మిల్లి లీటర్లు  /ఒక ఎకరాకు పిచికారి చేయాలి
"
"black leaf spot in groundnut
","recommended to spray ( carbendazim +mancozeb ) (saaf) 400gm / 200 lit of water /acre ( కార్బెండజిం + మాంకోజెబ్ ) 400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాల
"
root rot management in groundnut?,కాపర్ ఆక్సీక్లోరైడ్ 3 గ్రాములు / లీటర్ నీటిలో కలిపి మొక్క మొదల్ల దగ్గర పోయాలి.
tikka leaf spot in ground nut recommended,"recommended to spray propiconazole  (tilt)  200 ml / 200 litres of water /acre  
ప్రొపికొనజోల్  200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
recommended to spray carbendazim   (bavistin) 200  grams/  200 litres of water /acre   
కార్బెండజిం  200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
tikka leafs spot management ,"recommended to spray  benomyl  (benlet) 200  grams / 200 litres of water /acre 
 బెనొమిల్  200 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాల 
 "
nutrient management in ground nut ,"recommended to spray npk 19-19-19 mixture  5 grams/1 litre of water npk 19-19-19 mixture  @ 5 గ్రాములు లీటరు నీటికి లలిపి  పిచికారీ చేయండి 
recommended to spray tebuconazole   (folicur) 400 grams /200 litres of water / acre   
టెబ్యుకొనజోల్   400గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
recommended to spray   tebuconazole + trifloxystrobin (nativo)160 grams /200 litres of water /acre      
టిబ్యుకొనజొల్   +  ట్రైప్లోక్సిస్త్రోబిన్ 160  గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
tikka spot in ground nut recommended ,"--recommended to spray propiconazole  (tilt)  200 ml / 200 litres of water /acre  
ప్రొపికొనజోల్  200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
recommended to spray   tebuconazole + trifloxystrobin (nativo)160 grams /200 litres of water /acre      
టిబ్యుకొనజొల్   +  ట్రైప్లోక్సిస్త్రోబిన్ 160  గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి 
"
groundnut tikka late leaf spot management ,"అగ్రోమింమ్యాక్స్ ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి        recommended to spray borax 3 grams/1 liter of water
                                                       
"
tikka leaf spot and leaf folder  in groundnut,"recommended to spray  hexaconazole  (contaf) 300-400 ml /200 litres of water / acre  
హెక్సాకొనజోల్   400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
recommended to spray emamectin benzoate  (proclaim) 90 grams /150 litres of water / acre  
ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
fruit rot management in groundnut,"టిబ్యుకొనజొల్   +  ట్రైప్లోక్సిస్త్రోబిన్ 160  గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
caterpillars management in groundnut,"కాపర్ ఆక్సీక్లోరైడ్ 3 గ్రాములు / లీటర్ నీటిలో కలిపి మొక్క మొదల్ల దగ్గర పోయాలి 
"
tobacco cater filler in groundnut,recommended to spray emamectin benzoate (proclaim) 90 grams /150 litres of water / acre ఎమామెక్టిన్ బెంజోయేట్ 90 గ్రాములు /150 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
stem borer in ground nut ,"recommended to spray emamectin benzoate  (proclaim) 90 grams /150 litres of water / acre  
ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
sucking pest  management ,"recommended to spray  fipronil (regent) 400 ml / 200 litres of water /acre  
 ఫిప్రోనిల్ 400  మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
white flies in groundnut recommended  ,"recommended to spray acetamiprid(pride)   40 grams  /200 litres of water /acre 
అసిటామిప్రైడ్   40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
powdery mildew in groundnut ,మీ ప్రాతం లో పొడి వాతావరణం ఉంది 
 chlorantraniliprole (coragin)  dosage ,"--recommended to spray chlorantraniliprole (coragin) 60 ml/150 liters of water / acre    క్లోరాంత్రనిలిప్రోల్  60 మిల్లి లీటర్లు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
"
shoot borer management in groundnut ," recommended to spray thiodicarb (larvin) 300 gr 200 litres of water / acre   
థయోడికార్బ్ 300 గ్రాములు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
"
jassids in ground ,"recommended to spray thiamethoxam (actara/crulser) 40 grams /200 litres of water / acre   థయోమిథాక్జొమ్ 40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
sucking pest in groundnut ,"recommended to spray monocrotophos (nuvacron) 320 ml /200 litres of water /acre 
మోనోక్రోటోపాస్  320 మిల్లి లీటర్లు  200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
leaf roller in groundnut," recommended to spray  chlorpyrifos  (corabon/predator) 500 ml/200 litres of water / acre
 క్లోరోఫైరిఫాస్   500 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
rat control in ground nut filed,"recommended to drench copper oxy chloride  (blitox )3 grams / 1 litre of water  కాపర్ ఆక్సీక్లోరైడ్ 3 గ్రాములు / లీటర్ నీటిలో కలిపి మొక్క మొదల్ల దగ్గర పోయాలి 
"
rust in groundnut   ,recommended to use folio gold  600 gm/ 200 lt ......
groumd nut late tikka management,"recorecommended to spray propiconazole  (tilt)  200 ml / 200 litres of water /acre  
ప్రొపికొనజోల్  200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
"
sucking pest in sesame ,"recommended to spray  fipronil  400 ml / 200 litres of water /acre  
 ఫిప్రోనిల్ 400  మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
groundnut tikka leaf spot management ,"ప్రొపికొనజోల్  200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
"
tikka leaf spots management in ground nut ,  ఇమిడాక్లోప్రిడ్  60 మిల్లి లీటర్లు /150 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
nutrient management in groundnut ,"అగ్రోమింమ్యాక్స్ ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి                                                               
"
groundnut fertilizer management ,"--groundnut	basal dose: 2 bags ssp, 18kg urea, 33kg mop , 30days: 9kg urea         30 రోజులకు 9 కిలోలు యూరియా    gypsum 200 kg per acre    ఎకరాకు 200 కిలోలు జిప్సం 
"
fertilizer management in groundnut ?,recommended to spray ambition @250 ml per acre
groundnut pod rot(root rot ) management ,"recommended to drench copper oxychloride  3 grams / 1 liter of water  కాపర్ ఆక్సీక్లోరైడ్ 3 గ్రాములు / లీటర్ నీటిలో కలిపి మొక్క మొదల్ల దగ్గర పోయాలి 
"
rodent management in ground nut: ,recommended to prpare poision baits with bromidoline rat killer and keep them near rat holes
fertilizer use and availability in ground nut ,30 kg of phosporus 25 kg of urea and potash 20 kg 
aphids in ground nut ,"recommended to spray  fipronil  +imidacloprid (police) 100 grams/200 litres of water /acre  
recommended to spray lancer gold (acephate +imidachloprid )500 gm/acre
"
application of calcium sulphate (uses ,"groundnut	basal dose: 2 bags ssp, 18kg urea, 33kg mop , 30days: 9kg urea         30 రోజులకు 9 కిలోలు యూరియా    gypsum 200 kg per acre    ఎకరాకు 200 కిలోలు జిప్సం 
"
white fly in grounut,"recommended to  fipronil 40 gm /200 litres of water / acre   
ఫిప్రోనిల్  40 గ్రాములు   /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
root rot in groundnut management ,"recommended to drench copper oxy chloride  3 grams / 1 litre of water  కాపర్ ఆక్సీక్లోరైడ్ 3 గ్రాములు / లీటర్ నీటిలో కలిపి మొక్క మొదల్ల దగ్గర పోయాలి 
recommended to spray metalaxyl   (ridomil) 200 grams / 200 litres of water /acre   
మెటలాక్సిల్  మే  200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
zn deficiency in ground nut ,"recommended agrominmax 500 gm /1 acre/ 200 liter of water
recommended to spray zinc sulphate 2 gram /1 liter of water. జింక్ సల్ఫేట్  2 గ్రాములు  / లీటర్ నీటిలో కలిపి పిచికారీ చేయాలి 
"
groundnut post weed management (50 days ), recommended to no weedicide is used hand weeding is the best method 
tikka in groundnut recommended  ,"recommended to spray  hexaconazole  (contaf) 400 ml /200 litres of water / acre  
హెక్సాకొనజోల్   400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
recommended to spray tebuconazole   (folicur) 400 grams /200 litres of water / acre   
టెబ్యుకొనజోల్   400గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
caterpillar management in ground nut   ," ??????????? 300 ????????  / 200 ?????? ?????? ??????? ?????  ?? ?????? ???????? ??????
"
about weed management in ground nut at 15 -20 das,"??????????? ( ??? ????  ) 300-400 ?????? ???????     /200 ?????? ?????? ??????? ????? ?? ?????? ???????? ??????	
"
leaf spots management in ground nut ,"recommended to spray chlorothalonil(kavach) 400 grams / acre  
 ?????????????  400 ????????   / 200 ?????? ?????? ??????? ????? ?? ?????? ???????? ?????? 
"
groundnut leaf miner ,"recommended to spray  chlorpyrifos  (corabon/predator) 500 ml/200 litres of water / acre
 ??????????????   500 ?????? ???????  / 200 ?????? ?????? ??????? ?????  ?? ?????? ???????? ?????? 
recommended to spray azadirhachtin ( neem seed kernal oil )  1 litre  /200 litres of water /acre 
 ??? ???? 1 ????? /200 ?????? ?????? ??????? ?????  ??  ??????  ???????? ??????  
"
sucking pests in castor ,"recommended to spray dimethoate 400(roger) ml /200 litres of water /acre 
 ??????????  400 ?????? ??????? /200 ?????? ?????? ??????? ????? ?? ?????? ???????? ?????? 
"
weedicides for groundnut for before 48 hours,"recommended to spray pendimethalin 1 litre /200 litres of water acre 
 ?????????????(???????)   1  ????? /200 ?????? ?????? ??????? ????? ?? ?????? ???????? ??????	 
"
leaf spots management in ground nut,"recommended to spray chlorothalonil 400 grams / acre  
 ?????????????  400 ????????   / 200 ?????? ?????? ??????? ????? ?? ?????? ???????? ?????? 
"
control of cyper rotundus in groundnut," recommended to spray quizalofop-p-ethyl 400 ml/200 litres of 
???????????-?? -????? 400  ?????? ??????? (????? ?????)/200 ?????? ?????? ??????? ????? ?? ?????? ???????? ??????"
"fertilizer application as basal in ground nut 
","recommended to apply basal dose urea-18kg,ssp-125kg and mop-33kg/acre "
catterpillers in groundnut,"???????????? (fame)   40 ?????? ???????   /200 ?????? ?????? ??????? ?????  ?? ?????? ???????? ?????? 
"
rust spots in groundnut,"recommended to spray chlorothalonil (kavach ) 400 grams / acre  
 ?????????????  400 ????????   / 200 ?????? ?????? ??????? ????? ?? ?????? ???????? ?????? 
"
alternaria leaf disease in ground nut,"( ??????????? + ????????? ) 400 ???????? / 200 ?????? ?????? ??????? ????? ?? ?????? ???????? ?????
"
leaf hopper in groundnut ,"recommended to spray profenofos (curacron) 400 ml/200 litres of water /  acre 
 ????????????  400 ?????? ???????   /200 ?????? ?????? ??????? ????? ?? ?????? ???????? ??????
"
catterpillers in ground nut,???????????  ????????? (proclaim)  90 ????????   /150 ?????? ?????? ??????? ?????  ?? ?????? ???????? ?????? 
seed treatment with ,mancozeb 3gm/1kg of seed
"seed treatment , weed management  ","  pendimethalin 2ml  butachlor    2ml /????
 mancozeb 3gm, imidaclopride   2ml/1 kg seeds     crop should sown after 30 days "
tikka leaf spot management in groundut,"recommended to spray   (nativo)tebuconazole + trifloxystrobin 160 grams /200 litres of water /acre      
?????????????   +  ?????????????????????? 160  ???????? /200 ?????? ?????? ??????? ?????  ?? ?????? ???????? ?????? 
"
borers in groundnut, ???????????? + ?????????????     350 ?????? ???????   / 200 ?????? ?????? ??????? ????? ?? ?????? ???????? ?????? 
"weed management after 23 days
",not recommended 
late leaf spot management in ground nut ,"recommended to spray chlorothalonil 400 grams / acre  
 ?????????????  400 ????????   / 200 ?????? ?????? ??????? ????? ?? ?????? ???????? ?????? 
"
powdery mildew management in ground nut ,"recommended to spray  hexaconazole  400 ml /200 litres of water / acre  
"
groundnut pre emergence herbicide,"????????(????????, ????? ) 800 ???????? 200 ?????? ?????? ??????? ????? ?? ?????? ???????? ??????"
late leaf spot in groundnut,recommended to spray chlorothalonil(kavach) 400 grams / acre ????????????? 400 ???????? / 200 ?????? ?????? ??????? ????? ?? ?????? ???????? ?????? ??????? ?????? ?? ????????? ?????????? recommended to spray tebuconazole + trifloxystrobin (nativo) 160 grams /200 litres of water /acre ????????????? + ?????????????????????? 160 ????????/200 ?????? ?????? ??????? ????? ?? ????????????????????
groundnut leaf folder management ,recommended to spray profenofos (curacron) 400 ml/200 liters of water / acre ???????????? 400 ?????? ??????? /200 ?????? ?????? ??????? ????? ?? ?????? ???????? ??????
blb management in groundnut,"????? ?????????????   600  ???????? + ???????????????? 20  ???????? /200 ?????? ?????? ??????? ????? ?????? ???????? ??????
"
groundnut termite management,"digging the termataria and destruction of the queen is most important in termite management
use well rotten organic manure
harvest the groundnut as soon as they are matured, early removal of the produce from the field will reduce the chances of termite damage to pods
apply chlorpyriphos 20 ec to control termites
dust chlorpyriphos @ 30-40 kg/ha in soil before sowing in endemic areas
seed treatment with chlorpyriphos @ 6.5ml /kg of seed may reduce termite damage"
about stem rot in ground nut,"????? ????????????? 3 ???????? / ????? ?????? ????? ????? ?????? ????? ?????? 
"
"tikka leaf spot in groundnut 
","one kg of copper sulphate powder is dissolved in 50 litres of water. similarly, 1 kg of lime is powdered and dissolved in another 50 litres of water. then copper sulphate solution is slowly added to lime solution with constant stirring or alternatively, both the solutions may be poured simultaneously to a third contained and mixed well.?????? ???????? ? ???????? ???????.(?????? 1%??????????? ????????? ??? ??????) ??? dithane z-78 

recommended to spray   tebuconazole + trifloxystrobin (nativo) 160 grams /200 litres of water /acre      
?????????????   +  ?????????????????????? 160  ???????? /200 ?????? ?????? ??????? ?????  ?? ?????? ???????? ?????? 
"
early and late tikka leaf spot ,?????????????  200 ?????? ???????  / 200 ?????? ?????? ??????? ????? ?????? ???????? ??????
pre emergent herbicide in groundnut,"recommended to spray pendimethalin 1 litre /200 litres of water acre 
 ?????????????(???????)   1  ????? /200 ?????? ?????? ??????? ????? ?? ?????? ???????? ??????	 
"
groundnut bud borer,???????????  300 ?????? ???????   / 200 ?????? ?????? ??????? ????? ?? ?????? ???????? ??????
groundnut  before pre emergence weed weed management,"--????? ??????,???? ????: ????? ?????????????? 45???? ?????? ????? ??????? ?????? ????? ???????? ???? ?????? ???????????? ???? ????????????? 30???? ?????? 1.3-1.6 ??.???? ?????????? 50???? 1 ?????.??????? ??? ?? ?????? ??????? ?????? ???? ?????? ????? ???? ???????? ??????.??????? 20,25 ??????????? ???????? ???????? ?????? ????? ?????? ????????? ??????? ????????.??????? 45 ????????? ?????? ????? ??????? ??????.45????? ?????? ??????? ???????? ??????? ?????? ???? ????????? ??????? ??????????."
bacterial wilt  in ground nut,"recommended to apply cartap hydrochloride  4g  granules  8-10 kg / acre    ???????? ?????????????? 4 ?? ???????   8 ??????  / ?? ?????? ?????????? 
"
